2017/11/16 16:00:43 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 16:00:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 16:00:53 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 16:00:53 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 16:00:53 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
